layer_fraction,model_pair,model_a,model_b,layer_a_idx,layer_b_idx,cka_score,subspace_cosine_sim
0.0,Llama-3.1-8B-Instruct_vs_Qwen2.5-7B-Instruct,Llama-3.1-8B-Instruct,Qwen2.5-7B-Instruct,0,0,0.9999473690986633,1.0
0.0,Llama-3.1-8B-Instruct_vs_gemma-2-9b-it,Llama-3.1-8B-Instruct,gemma-2-9b-it,0,0,0.9999474883079529,1.0
0.0,Llama-3.1-8B-Instruct_vs_Mistral-7B-Instruct-v0.3,Llama-3.1-8B-Instruct,Mistral-7B-Instruct-v0.3,0,0,1.0,1.0
0.0,Qwen2.5-7B-Instruct_vs_gemma-2-9b-it,Qwen2.5-7B-Instruct,gemma-2-9b-it,0,0,1.0000001192092896,1.0
0.0,Qwen2.5-7B-Instruct_vs_Mistral-7B-Instruct-v0.3,Qwen2.5-7B-Instruct,Mistral-7B-Instruct-v0.3,0,0,0.9910843372344971,1.0
0.0,gemma-2-9b-it_vs_Mistral-7B-Instruct-v0.3,gemma-2-9b-it,Mistral-7B-Instruct-v0.3,0,0,0.9910843372344971,0.9999998807907104
0.25,Llama-3.1-8B-Instruct_vs_Qwen2.5-7B-Instruct,Llama-3.1-8B-Instruct,Qwen2.5-7B-Instruct,8,7,0.999967634677887,0.9999998807907104
0.25,Llama-3.1-8B-Instruct_vs_gemma-2-9b-it,Llama-3.1-8B-Instruct,gemma-2-9b-it,8,10,0.9999675750732422,0.9999998807907104
0.25,Llama-3.1-8B-Instruct_vs_Mistral-7B-Instruct-v0.3,Llama-3.1-8B-Instruct,Mistral-7B-Instruct-v0.3,8,8,1.0,0.9999998807907104
0.25,Qwen2.5-7B-Instruct_vs_gemma-2-9b-it,Qwen2.5-7B-Instruct,gemma-2-9b-it,7,10,1.0,0.9999998807907104
0.25,Qwen2.5-7B-Instruct_vs_Mistral-7B-Instruct-v0.3,Qwen2.5-7B-Instruct,Mistral-7B-Instruct-v0.3,7,8,0.9997681975364685,1.0
0.25,gemma-2-9b-it_vs_Mistral-7B-Instruct-v0.3,gemma-2-9b-it,Mistral-7B-Instruct-v0.3,10,8,0.9997681379318237,1.0
0.5,Llama-3.1-8B-Instruct_vs_Qwen2.5-7B-Instruct,Llama-3.1-8B-Instruct,Qwen2.5-7B-Instruct,16,14,0.9999247789382935,1.0
0.5,Llama-3.1-8B-Instruct_vs_gemma-2-9b-it,Llama-3.1-8B-Instruct,gemma-2-9b-it,16,20,0.9999247789382935,0.9999998807907104
0.5,Llama-3.1-8B-Instruct_vs_Mistral-7B-Instruct-v0.3,Llama-3.1-8B-Instruct,Mistral-7B-Instruct-v0.3,16,16,1.0000001192092896,1.0
0.5,Qwen2.5-7B-Instruct_vs_gemma-2-9b-it,Qwen2.5-7B-Instruct,gemma-2-9b-it,14,20,1.0,0.9999998211860657
0.5,Qwen2.5-7B-Instruct_vs_Mistral-7B-Instruct-v0.3,Qwen2.5-7B-Instruct,Mistral-7B-Instruct-v0.3,14,16,0.999825119972229,0.9999998807907104
0.5,gemma-2-9b-it_vs_Mistral-7B-Instruct-v0.3,gemma-2-9b-it,Mistral-7B-Instruct-v0.3,20,16,0.999825119972229,0.9999998807907104
0.75,Llama-3.1-8B-Instruct_vs_Qwen2.5-7B-Instruct,Llama-3.1-8B-Instruct,Qwen2.5-7B-Instruct,23,20,0.999833881855011,1.0
0.75,Llama-3.1-8B-Instruct_vs_gemma-2-9b-it,Llama-3.1-8B-Instruct,gemma-2-9b-it,23,31,0.9998339414596558,0.9999998807907104
0.75,Llama-3.1-8B-Instruct_vs_Mistral-7B-Instruct-v0.3,Llama-3.1-8B-Instruct,Mistral-7B-Instruct-v0.3,23,23,1.0,0.9999998807907104
0.75,Qwen2.5-7B-Instruct_vs_gemma-2-9b-it,Qwen2.5-7B-Instruct,gemma-2-9b-it,20,31,1.0000001192092896,1.0
0.75,Qwen2.5-7B-Instruct_vs_Mistral-7B-Instruct-v0.3,Qwen2.5-7B-Instruct,Mistral-7B-Instruct-v0.3,20,23,0.9998409152030945,0.9999998807907104
0.75,gemma-2-9b-it_vs_Mistral-7B-Instruct-v0.3,gemma-2-9b-it,Mistral-7B-Instruct-v0.3,31,23,0.999841034412384,0.9999998807907104
1.0,Llama-3.1-8B-Instruct_vs_Qwen2.5-7B-Instruct,Llama-3.1-8B-Instruct,Qwen2.5-7B-Instruct,31,27,0.9996610283851624,0.9999998807907104
1.0,Llama-3.1-8B-Instruct_vs_gemma-2-9b-it,Llama-3.1-8B-Instruct,gemma-2-9b-it,31,41,0.9996609687805176,1.0
1.0,Llama-3.1-8B-Instruct_vs_Mistral-7B-Instruct-v0.3,Llama-3.1-8B-Instruct,Mistral-7B-Instruct-v0.3,31,31,1.0,1.0
1.0,Qwen2.5-7B-Instruct_vs_gemma-2-9b-it,Qwen2.5-7B-Instruct,gemma-2-9b-it,27,41,0.9999999403953552,1.0
1.0,Qwen2.5-7B-Instruct_vs_Mistral-7B-Instruct-v0.3,Qwen2.5-7B-Instruct,Mistral-7B-Instruct-v0.3,27,31,0.9998789429664612,1.0
1.0,gemma-2-9b-it_vs_Mistral-7B-Instruct-v0.3,gemma-2-9b-it,Mistral-7B-Instruct-v0.3,41,31,0.999879002571106,1.0
